emp_no,first_name,last_name,title,from_date,to_date,salary
10001,Georgi,Facello,Senior Engineer,1986-06-26,9999-01-01,60117
10004,Chirstian,Koblick,Senior Engineer,1995-12-01,9999-01-01,40054
10009,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01,60929
10018,Kazuhide,Peha,Senior Engineer,1995-04-03,9999-01-01,55881
10035,Alain,Chappelet,Senior Engineer,1996-09-05,9999-01-01,41538
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,9999-01-01,67854
10058,Berhard,McFarlin,Senior Staff,1988-04-25,9999-01-01,52787
10066,Kwee,Schusler,Senior Engineer,1998-02-25,9999-01-01,69736
10067,Claudi,Stavenow,Senior Engineer,1996-03-03,9999-01-01,44642
10070,Reuven,Garigliano,Technique Leader,1985-10-14,9999-01-01,55999
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,9999-01-01,40000
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01,47319
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,9999-01-01,65957
10100,Hironobu,Haraldson,Senior Staff,1994-09-21,9999-01-01,54398
10103,Akemi,Birch,Engineer,1998-01-12,9999-01-01,68158
10108,Lunjin,Giveon,Staff,1999-03-20,2001-10-20,40000
10116,Dayanand,Czap,Senior Engineer,1994-02-27,1998-11-01,44034
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,9999-01-01,40000
10129,Armond,Peir,Technique Leader,1996-01-16,9999-01-01,40000
10130,Nishit,Casperson,Senior Engineer,1988-06-21,9999-01-01,40000
10134,Diederik,Siprelle,Senior Engineer,1994-12-12,9999-01-01,40000
10138,Perry,Shimshoni,Senior Engineer,2001-03-03,9999-01-01,53574
10149,Xiadong,Perry,Staff,1994-01-28,1996-08-27,88740
10150,Zhenbing,Perng,Senior Engineer,1995-11-16,9999-01-01,70122
10152,Jaques,Munro,Engineer,1986-01-27,1987-08-03,40000
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,9999-01-01,54246
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,9999-01-01,48770
10161,Hairong,Mellouli,Engineer,1991-06-09,1994-01-05,43149
10186,Shigehito,Kropatsch,Staff,1996-12-25,1997-08-16,40000
10198,Pranav,Furedi,Senior Engineer,1993-08-31,9999-01-01,44076
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,9999-01-01,43944
10217,Yongmin,Roison,Technique Leader,1986-05-12,1993-08-05,40000
10224,Leon,Trogemann,Senior Engineer,1996-01-09,9999-01-01,40000
10229,Ulises,Takanami,Engineer,1996-02-20,2000-06-30,58321
10233,Lein,Vendrig,Senior Staff,2000-04-28,9999-01-01,40000
10258,Basil,Ishibashi,Senior Engineer,1997-05-16,9999-01-01,66280
10272,Yishai,Cannane,Staff,1997-10-23,9999-01-01,58070
10282,Hercules,Benzmuller,Engineer,2001-05-02,9999-01-01,40000
10283,Kauko,Birjandi,Senior Engineer,1995-05-26,9999-01-01,40000
10286,Saddek,Gopalakrishnan,Staff,1994-12-24,1999-01-24,40000
10302,Faiza,Baer,Senior Staff,1994-07-22,1999-11-09,58239
10305,Hirochika,Piancastelli,Engineer,1988-10-31,1992-06-02,52550
10326,Masali,Czap,Staff,1998-09-02,9999-01-01,40000
10327,Roded,Facello,Engineer,1987-09-18,1993-05-22,54734
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01,68132
10347,Pradeep,Kaminger,Staff,1998-02-20,9999-01-01,42199
10355,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01,70434
10356,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01,45376
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11,1993-02-12,40401
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01,51401
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01,54505
10387,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01,61374
10395,Takahiro,Deverell,Engineer,1998-08-10,2001-08-13,42774
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,9999-01-01,40393
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,9999-01-01,40000
10404,Prodip,Rosti,Senior Engineer,1996-08-28,9999-01-01,51647
10426,Arunas,Luce,Technique Leader,1985-07-06,9999-01-01,65757
10429,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01,40000
10432,Hisao,Tiemann,Senior Staff,1996-08-12,9999-01-01,40000
10442,Volkmar,Unno,Senior Staff,1999-02-12,2001-03-13,46005
10451,Bodh,Ranta,Senior Engineer,1998-03-12,9999-01-01,46275
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,9999-01-01,40000
10463,Ung,Zaiane,Staff,1994-02-17,9999-01-01,66480
10466,Jiakeng,Himler,Staff,1997-08-22,2000-08-15,55318
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,9999-01-01,71692
10494,Yakkov,Servieres,Senior Engineer,2000-12-17,9999-01-01,50094
10504,Xiong,Varker,Staff,1999-10-19,9999-01-01,43931
10512,Udi,Gihr,Senior Staff,1998-11-28,9999-01-01,40000
10519,Yonghoan,Alencar,Senior Staff,2000-12-05,2001-10-13,40000
10522,Marke,Cesareni,Senior Staff,1995-12-12,9999-01-01,40000
10538,Przemyslawa,Falby,Senior Engineer,1987-07-23,1998-12-13,72002
10541,Godehard,Eiter,Staff,1986-02-28,1986-10-01,50741
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01,90631
10564,Jianhao,Thisen,Senior Engineer,2000-11-22,9999-01-01,46660
10575,Theirry,Yeung,Senior Engineer,1988-10-04,2000-11-22,40523
10591,Hidde,Hettesheimer,Staff,1987-06-18,1988-09-20,55131
10608,Adhemar,Talmor,Senior Engineer,1986-05-25,1991-06-02,40000
10617,Hidekazu,Angel,Senior Staff,1991-10-30,2001-10-03,40000
10623,Aleksander,Danlos,Senior Engineer,1999-01-15,9999-01-01,60268
10628,Krisda,Krogh,Senior Engineer,2001-03-14,9999-01-01,41650
10629,Lalit,Francisci,Staff,1999-10-20,2001-12-07,87045
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18,9999-01-01,40000
10642,Hirochika,Narlikar,Engineer,1998-10-05,9999-01-01,40000
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,9999-01-01,40000
10671,Parviz,Rebaine,Senior Staff,2001-09-13,9999-01-01,74037
10672,Bluma,Zeilberger,Senior Engineer,1991-09-29,1996-04-19,64663
10676,Valeri,Danley,Engineer,1999-09-04,9999-01-01,58226
10693,Berhard,Daescu,Senior Staff,1991-01-08,9999-01-01,40000
10694,Rildo,Straney,Senior Staff,1993-01-25,2001-07-11,53020
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01,46581
10718,Adib,Rullman,Senior Engineer,1997-07-21,9999-01-01,75473
10726,Zita,Minakawa,Senior Engineer,2001-02-24,9999-01-01,46315
10731,Fumitaka,Peak,Senior Staff,1994-02-20,2000-10-09,77892
10734,Sachar,Erdi,Engineer,1995-12-19,9999-01-01,47377
10745,Poorav,Ranze,Senior Engineer,1997-01-22,9999-01-01,40000
10749,King,Brendel,Senior Engineer,1990-09-26,9999-01-01,60829
10751,Jordanka,Ushiama,Engineer,1999-12-14,2000-12-05,50052
10767,Monique,Doering,Staff,1997-07-15,9999-01-01,40651
10768,Ishfaq,Candan,Senior Engineer,1990-07-04,9999-01-01,65717
10777,Mizuhito,Kemmerer,Senior Engineer,1996-03-16,2001-03-27,40000
10778,Selwyn,Merey,Senior Staff,1986-07-04,9999-01-01,64996
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31,9999-01-01,40000
10795,Supot,Naudin,Senior Staff,1999-05-03,9999-01-01,84206
10803,Katsuyuki,Velasco,Senior Engineer,1997-04-20,2002-04-02,54260
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07,9999-01-01,40000
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01,40000
10836,Jianhua,Leivant,Senior Staff,1987-08-10,9999-01-01,65502
10844,Dipayan,Koprowski,Engineer,1997-04-25,9999-01-01,40000
